parameter_id,IMPC_IMM_004_002
analysis_id,66n3smbis2tou21
mouse_life_stage,Early adult
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
pvalue,0.3211476
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
mouse_strain,C57BL
