parameter_name,Snout size
pvalue,0.8780545
analysis_id,2n7t319gixwg39g
parameter_id,MGP_CSD_067_001
gene_accession_id,MGI:3045306
gene_symbol,Exd1
mouse_strain,C57BL
mouse_life_stage,Early adult
