analysis_id,k53d8h08i139dy5
gene_symbol,Slc30a4
pvalue,0.7543569
parameter_id,MGP_PBI_010_001
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
mouse_strain,C57BL
