parameter_name,Periphery average speed
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,JAX_OFD_013_001
gene_symbol,Nipal3
pvalue,0.05689694
gene_accession_id,MGI:1921802
analysis_id,7y65po3t8626gln
