parameter_name,Narrow eye opening
mouse_life_stage,E12.5
gene_symbol,Mecom
mouse_strain,C57BL
gene_accession_id,MGI:95457
pvalue,0.6056486
parameter_id,IMPC_EYE_006_001
analysis_id,ws7iwsig69p8b05
