parameter_name,Periphery resting time
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_011_001
pvalue,0.1012829
mouse_strain,C57BL
gene_accession_id,MGI:1919137
analysis_id,hv94fxgx038qp3q
gene_symbol,Ppm1j
