gene_symbol,Rufy4
pvalue,0.3054299
parameter_name,Plasmacytoid DC - % of DC
analysis_id,6367x6q82nz62wh
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
parameter_id,MGP_MLN_058_001
