parameter_id,IMPC_GPO_002_001
analysis_id,r7xgfw2o7g14xf2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tiprl
parameter_name,Placenta Morphology
gene_accession_id,MGI:1915087
pvalue,0.6202473
