gene_symbol,Sprr1b
pvalue,0.5143683
analysis_id,1hjtyp159az086f
mouse_strain,C57BL
parameter_name,Fasted blood glucose concentration
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
parameter_id,IMPC_IPG_010_001
