mouse_strain,C3H
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Mecom
analysis_id,8s423k1s3661421
parameter_id,MGP_MLN_063_001
gene_accession_id,MGI:95457
pvalue,0.1499989
