parameter_id,HMGULA_DYS_024_001
gene_accession_id,MGI:2444554
parameter_name,Vibrissae - appearance
gene_symbol,Mapkap1
mouse_strain,C59BL
mouse_life_stage,E12.5
pvalue,0.6874218
analysis_id,i4u431a6pg9so5h
