parameter_name,BMC/Body weight
gene_symbol,F2
parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:88380
mouse_strain,C57BL
pvalue,0.5975458
mouse_life_stage,Early adult
analysis_id,g391d4u15w6w56k
