parameter_name,Skull shape
gene_symbol,Tubb4b
mouse_life_stage,Early adult
pvalue,0.09923205
mouse_strain,C57BL
analysis_id,1n714orrd2fmcj5
parameter_id,IMPC_XRY_001_001
gene_accession_id,MGI:1915472
