analysis_id,c5z2rrp6wx06o79
gene_symbol,Traf6
pvalue,0.7018844
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
parameter_name,Center resting time
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
