parameter_name,Vitreous
mouse_life_stage,Middle aged adult
analysis_id,2p901p80950z29g
pvalue,0.2668515
mouse_strain,C57BL
gene_symbol,Slc30a4
parameter_id,UCDLA_EYE_083_001
gene_accession_id,MGI:1345282
