analysis_id,57mwh6o6uk5a5a0
parameter_name,Radius
mouse_strain,C57BL
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
pvalue,0.9167802
