mouse_life_stage,E15.5
parameter_id,IMPC_CBC_010_001
gene_symbol,Mapkap1
mouse_strain,C57BL
pvalue,0.7464519
analysis_id,cx0g05lvw65oy6g
parameter_name,Phosphorus
gene_accession_id,MGI:2444554
