analysis_id,e9n0x497ce12352
parameter_id,M-G-P_026_001_004
parameter_name,Coat colouration
gene_accession_id,MGI:1914561
pvalue,0.917766
mouse_strain,C57BL
gene_symbol,Nanp
mouse_life_stage,E18.5
