gene_symbol,Tbl1xr1
parameter_id,IMPC_EYE_056_001
pvalue,0.1470069
gene_accession_id,MGI:2441730
parameter_name,Mean left eye lens density
mouse_strain,C57BL
analysis_id,13372sn5u3sbvv3
mouse_life_stage,Late adult
