parameter_name,Placenta Size
analysis_id,5sp4h008989b2ru
mouse_life_stage,Early adult
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
parameter_id,IMPC_GPP_004_001
pvalue,0.9730515
mouse_strain,C57BL
