gene_symbol,Dcaf12
analysis_id,74l02z44x2f4289
parameter_id,IMPC_IMM_005_002
mouse_strain,C57BL
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
pvalue,0.6206809
