parameter_name,Right total retinal thickness
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
analysis_id,5t5ste1987hcq5k
pvalue,0.205262
mouse_life_stage,Late adult
