analysis_id,7k53q4s5xavccdp
parameter_id,JAX_OFD_021_001
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Number of rears - total
pvalue,0.1734301
