gene_symbol,Cldn19
analysis_id,7o87rqpwpcqlnp5
mouse_life_stage,Early adult
pvalue,0.08929133
mouse_strain,C57BL
parameter_name,Effector Treg cells - % of Treg
gene_accession_id,MGI:3033992
parameter_id,MGP_IMM_010_001
