parameter_name,Embryo turning
mouse_strain,C57BL
analysis_id,0a051u0sq5n8e19
gene_accession_id,MGI:2446186
parameter_id,IMPC_GEL_011_001
mouse_life_stage,Late adult
pvalue,1.007303
gene_symbol,Lpgat1
