gene_symbol,Ppm1j
analysis_id,684426y11u779ve
pvalue,0.9527958
mouse_strain,C57BL
gene_accession_id,MGI:1919137
parameter_name,Glucose
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_018_001
