parameter_name,Bone Area
pvalue,0.3159017
mouse_strain,C57BL
gene_symbol,Nucks1
parameter_id,IMPC_DXA_010_001
gene_accession_id,MGI:1934811
analysis_id,6mo9iy0339n7n1g
mouse_life_stage,Late adult
