analysis_id,i49p3i2q13suf04
gene_symbol,Tatdn3
mouse_life_stage,Early adult
parameter_name,Facial Morphology
parameter_id,IMPC_GEP_017_001
mouse_strain,C57BL
gene_accession_id,MGI:1916222
pvalue,0.06797182
