parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
pvalue,0.6230942
analysis_id,mm0991t97gg5j7l
gene_accession_id,MGI:1915325
parameter_name,Total holepokes
mouse_strain,C57BL
gene_symbol,Lurap1
