parameter_name,Latency to center entry
pvalue,0.2567498
analysis_id,82qchlt011165vw
mouse_strain,C57BL
gene_accession_id,MGI:3026886
parameter_id,IMPC_OFD_018_001
mouse_life_stage,Early adult
gene_symbol,Cdin1
