gene_symbol,Kif24
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_IMM_006_001
mouse_strain,C57BL
pvalue,0.2042717
gene_accession_id,MGI:1918345
analysis_id,u74uhez8til6a84
mouse_life_stage,Early adult
