parameter_id,JAXLA_GRS_010_001
pvalue,0.5970008
analysis_id,q9ccela7m6zs854
mouse_life_stage,Early adult
gene_symbol,Tnni1
mouse_strain,C57BL
gene_accession_id,MGI:105073
parameter_name,Forelimb grip strength normalised against body weight
