analysis_id,k47r6r26p2913b3
pvalue,0.5812467
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
parameter_name,center - distance
gene_accession_id,MGI:109384
gene_symbol,Atf3
mouse_strain,C57BL
