gene_symbol,Ahcy
parameter_id,MGP_IMM_066_001
gene_accession_id,MGI:87968
parameter_name,CD11b-high cDC - % of cDC
analysis_id,0ifm65903x3e4v9
pvalue,0.7806216
mouse_strain,C57BL
mouse_life_stage,E12.5
