analysis_id,96u666hj1d9bljk
parameter_name,% Pre-pulse inhibition - PPI2
pvalue,0.540339
mouse_life_stage,Early adult
gene_symbol,Mms22l
parameter_id,IMPC_ACS_034_001
mouse_strain,129SV
gene_accession_id,MGI:2684980
