parameter_name,Fat mass
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
parameter_id,IMPC_DXA_002_001
mouse_strain,C57BL
pvalue,0.3843731
analysis_id,8fwvi70cr9o5n35
gene_symbol,Rnf114
