parameter_name,12kHz-evoked ABR Threshold
pvalue,0.4821525
analysis_id,66ctd64y6tj51l0
mouse_strain,C57BL
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
gene_symbol,Ppm1j
parameter_id,IMPC_ABR_006_001
