analysis_id,20w4196p6hrurd8
gene_symbol,Kdm5b
pvalue,0.180944
parameter_name,Center average speed
parameter_id,JAXLA_OFD_017_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
mouse_strain,C57BL
