parameter_name,Humerus
pvalue,0.6856188
analysis_id,6618x331s81591q
gene_symbol,Rnf114
mouse_strain,C57BL
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_021_001
