analysis_id,vhr2h5x831047gu
parameter_id,JAXLA_CSD_007_001
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cmpk1
pvalue,0.9582381
parameter_name,Coat - color - abdomen
