parameter_name,Humerus
pvalue,0.8893099
parameter_id,IMPC_XRY_021_001
gene_symbol,Cntfr
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,0d8ab8e1iumt3hd
