analysis_id,j081zew8sm6v46n
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_018_001
gene_symbol,Pld1
mouse_strain,C57BL
gene_accession_id,MGI:109585
pvalue,0.2705263
parameter_name,Respiration Rate
