analysis_id,376553qf06y9562
gene_accession_id,MGI:1914309
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,MGP_MLN_093_001
parameter_name,KLRG1+ NK cells - % of CD45+
gene_symbol,Ola1
pvalue,0.1632128
