analysis_id,pzzep608x3n5h75
gene_symbol,Bach2
mouse_life_stage,Early adult
parameter_name,Alanine aminotransferase
mouse_strain,C57BL
gene_accession_id,MGI:894679
parameter_id,IMPC_CBC_013_001
pvalue,0.9783181
