parameter_name,Shape of ribcage
parameter_id,IMPC_XRY_059_001
gene_symbol,Trim46
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
analysis_id,zat2001v81i11d4
pvalue,0.8929019
