analysis_id,31vrw0w976wb4s2
parameter_name,CD8 CD44-CD62L+ T cells
gene_symbol,Eprs1
mouse_life_stage,E9.5
pvalue,0.5942808
gene_accession_id,MGI:97838
parameter_id,IMPC_IMM_034_001
mouse_strain,C57BL
