gene_symbol,Cpa3
gene_accession_id,MGI:88479
pvalue,0.1572159
mouse_strain,C57BL
analysis_id,2v4sne5ucd7i552
parameter_id,M-G-P_014_001_010
mouse_life_stage,Early adult
parameter_name,lens opacity
