parameter_id,JAXLA_DXA_007_001
parameter_name,BMC/Body weight
analysis_id,6zw8u1h8dd185ye
mouse_strain,C57BL
pvalue,0.5946639
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
