analysis_id,cujs1830527n249
mouse_life_stage,Early adult
gene_symbol,Exd1
gene_accession_id,MGI:3045306
parameter_name,Click-evoked ABR threshold
pvalue,0.5967627
mouse_strain,C57BL
parameter_id,IMPC_ABR_002_001
