mouse_strain,C57BL
parameter_id,HRWLLA_OFD_013_001
gene_symbol,Slc45a3
gene_accession_id,MGI:1922082
mouse_life_stage,Early adult
parameter_name,Periphery average speed
pvalue,0.7224634
analysis_id,u16obry9824dlj8
