gene_symbol,Mecom
parameter_id,MGP_PBI_030_001
analysis_id,92828hp2zp5x67o
mouse_life_stage,Early adult
mouse_strain,C3H
pvalue,0.1719903
gene_accession_id,MGI:95457
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
