analysis_id,1ak196h49o75rfj
pvalue,0.6662607
gene_accession_id,MGI:3045306
mouse_strain,C57BL
parameter_id,MGP_PBI_004_001
mouse_life_stage,Early adult
parameter_name,CD8+ alpha beta T cell percentage
gene_symbol,Exd1
