mouse_life_stage,Early adult
analysis_id,8acv5iqkud0o25r
parameter_id,MGP_MLN_021_001
pvalue,0.5066323
gene_symbol,Dnajc6
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C50BL
gene_accession_id,MGI:1919935
