analysis_id,k2s8t8h42bf6291
parameter_name,% Pre-pulse inhibition - PPI1
gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
mouse_strain,C57BL
parameter_id,IMPC_ACS_033_001
mouse_life_stage,Early adult
pvalue,0.3456052
