gene_symbol,Sprr1b
mouse_strain,C57BL
parameter_id,JAXLA_CSD_022_001
gene_accession_id,MGI:106659
analysis_id,0n08sehmr6580q8
mouse_life_stage,Early adult
pvalue,0.9819404
parameter_name,Hindlimbs - size
