gene_symbol,Bach2
mouse_strain,C57BL
parameter_name,Mean-corpuscular-haemoglobin
pvalue,0.8551821
parameter_id,M-G-P_016_001_006
analysis_id,mw8yg51807g0r6p
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
