parameter_name,Skull shape
pvalue,0.9066287
gene_accession_id,MGI:2444113
analysis_id,e6s8604mi4oa430
mouse_life_stage,Early adult
gene_symbol,Nemp2
mouse_strain,C57BL
parameter_id,CCP_XRY_001_001
