parameter_name,Neutrophil percentage
analysis_id,58v5djwj6bz8sc6
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Tiprl
parameter_id,MGP_PBI_019_001
pvalue,0.9577888
gene_accession_id,MGI:1915087
