gene_symbol,Il1r1
pvalue,0.6776317
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:96545
analysis_id,i088k4wq4c3fh0y
parameter_name,lens opacity
mouse_strain,C57BL
