gene_symbol,Cisd2
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
parameter_id,IMPC_DXA_009_001
analysis_id,s4j009nso17292n
mouse_strain,C57BL
pvalue,0.2997242
