mouse_strain,B6J
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
pvalue,0.5769707
parameter_id,IMPC_FEA_106_001
analysis_id,tz7yc8ef1o3xda0
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_symbol,Nr0b2
