analysis_id,r5o9613z824ag7w
mouse_life_stage,Early adult
parameter_name,lens opacity
gene_accession_id,MGI:104640
mouse_strain,C57BL
gene_symbol,Rab17
pvalue,0.1236473
parameter_id,M-G-P_014_001_010
