gene_symbol,Clvs1
pvalue,0.4250145
parameter_id,IMPC_CSD_012_001
analysis_id,lk4068k028n21s1
parameter_name,Coat - hair distribution - head
mouse_strain,C57BL
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
