analysis_id,e02f8a459e388hw
mouse_strain,129SV
gene_accession_id,MGI:1921802
parameter_id,UCDLA_EYE_017_001
mouse_life_stage,Early adult
parameter_name,Lens Opacity
pvalue,0.2001625
gene_symbol,Nipal3
